15	drz15a	99	#141419,#392f47,#664851,#a55d52,#d87272,#f29a80,#ffe35b,#ffffee,#515a8e,#537f3b,#80827e,#85abdd,#a4db72,#ffbffc,#cfeef7
15	acid-15	99	#170326,#40073d,#8f1e40,#d36036,#808080,#37bea1,#e3da78,#f4f9d2,#1c0d59,#094440,#1c5182,#21973b,#c9829b,#b5d737,#c0f8af
15	ridley126-15	96	#1b2f50,#324179,#3a7ebb,#39c4d0,#32c879,#67df53,#dfc449,#d5ea63,#4d48a3,#8344a7,#8b2d4c,#b22e2e,#b65d6e,#b2652e,#ce862c
15	eggy-15	47	#2e403d,#0e0c1b,#4609a1,#495266,#f0f2d0,#ca1e0f,#3c9b87,#c41be3,#9e7e74,#f63468,#2bcff2,#ea9d18,#afd87e,#ddd4cb,#f9d955
16	endesga-16	3877	#e4a672,#b86f50,#743f39,#3f2832,#9e2835,#e53b44,#fb922b,#ffe762,#63c64d,#327345,#193d3f,#4f6781,#afbfd2,#ffffff,#2ce8f4,#0484d1
16	island-joy-16	2739	#ffffff,#6df7c1,#11adc1,#606c81,#393457,#1e8875,#5bb361,#a1e55a,#f7e476,#f99252,#cb4d68,#6a3771,#c92464,#f48cb6,#f7b69e,#9b9c82
16	pico-8	4145	#000000,#1D2B53,#7E2553,#008751,#AB5236,#5F574F,#C2C3C7,#FFF1E8,#FF004D,#FFA300,#FFEC27,#00E436,#29ADFF,#83769C,#FF77A8,#FFCCAA
16	cthulhu-16	349	#1d2531,#a5e5c5,#f0fafd,#52a593,#2b6267,#1e303a,#3b4251,#527b92,#7dc1c1,#c7fff3,#b8cbd8,#7e8da1,#8fa990,#e5debb,#cea061,#854731
16	taffy-16	830	#222533,#6275ba,#a3c0e6,#fafffc,#ffab7b,#ff6c7a,#dc435b,#3f48c2,#448de7,#2bdb72,#a7f547,#ffeb33,#f58931,#db4b3d,#a63d57,#36354d
16	europa-16	229	#ffffff,#75ceea,#317ad7,#283785,#1a1b35,#2e354e,#4f6678,#a4bcc2,#ecf860,#94d446,#3b7850,#20322e,#512031,#a43e4b,#dc7d5e,#f0cc90
16	galaxy-flame	164	#699fad,#3a708e,#2b454f,#111215,#151d1a,#1d3230,#314e3f,#4f5d42,#9a9f87,#ede6cb,#f5d893,#e8b26f,#b6834c,#704d2b,#40231e,#151015
16	aap-16	671	#070708,#332222,#774433,#cc8855,#993311,#dd7711,#ffdd55,#ffff33,#55aa44,#115522,#44eebb,#3388dd,#5544aa,#555577,#aabbbb,#ffffff
16	endesga-soft-16	631	#fefed7,#dbbc96,#ddac46,#c25940,#683d64,#9c6659,#88434f,#4d2831,#a9aba3,#666869,#51b1ca,#1773b8,#639f5b,#376e49,#323441,#161323
16	peachy-pop-16	512	#fdffff,#ff8686,#fb4771,#ce186a,#8f0b5f,#53034b,#ad6dea,#9fb9ff,#567feb,#0a547b,#278c7f,#0ce7a7,#acfcad,#ffec6d,#ffa763,#ff4040
16	fzt-ethereal-16	429	#f3f3f3,#f9c2a4,#b8700e,#5e0d24,#a29eb4,#c259df,#8f27b8,#c1002b,#6c606f,#0047ed,#00a8f3,#ddb411,#004952,#07865c,#00c37d,#051c25
16	arq16	701	#ffffff,#ffd19d,#aeb5bd,#4d80c9,#e93841,#100820,#511e43,#054494,#f1892d,#823e2c,#ffa9a9,#5ae150,#ffe947,#7d3ebf,#eb6c82,#1e8a4c
16	ultima-vi-atari-st	83	#f0f0f0,#c0a0a0,#706060,#202020,#000000,#50f050,#00a000,#006000,#5090f0,#0040d0,#101070,#f0d080,#e05000,#d00000,#504020,#d030d0
16	enos16	529	#fafafa,#d4d4d4,#9d9d9d,#4b4b4b,#f9d381,#eaaf4d,#f9938a,#e75952,#9ad1f9,#58aeee,#8deda7,#44c55b,#c3a7e1,#9569c8,#bab5aa,#948e82
16	simplejpc-16	484	#050403,#221f31,#543516,#9b6e2d,#e1b047,#f5ee9b,#fefefe,#8be1e0,#7cc264,#678fcb,#316f23,#404a68,#a14d3f,#a568d4,#9a93b7,#ea9182
16	jw-64	88	#000000,#404040,#8c8c8c,#c8c8c8,#644020,#a82f2f,#b46429,#e0806c,#403fc0,#6496f4,#63d4f0,#e0e040,#b437b4,#54c048,#a0f66e,#ffffff
16	ultima-vi-sharp-x68000	88	#e1e1e1,#a5a5a5,#4b4b4b,#000000,#e1c3b4,#e1a578,#a55a0f,#a50000,#e11e00,#e14be1,#e1e14b,#4be14b,#00a500,#0000a5,#4b4be1,#4be1e1
16	jmp-japanese-machine-palette	1080	#000000,#191028,#46af45,#a1d685,#453e78,#7664fe,#833129,#9ec2e8,#dc534b,#e18d79,#d6b97b,#e9d8a1,#216c4b,#d365c8,#afaab9,#f5f4eb
16	eroge-copper	1383	#0d080d,#4f2b24,#825b31,#c59154,#f0bd77,#fbdf9b,#fff9e4,#bebbb2,#7bb24e,#74adbb,#4180a0,#32535f,#2a2349,#7d3840,#c16c5b,#e89973
16	fantasy-16	796	#8e6d34,#513a18,#332710,#14130c,#461820,#a63c1e,#d37b1e,#e7bc4f,#eeeefa,#d9d55b,#757320,#14210f,#040405,#1c1b2f,#435063,#60a18f
